name|campaign_id|name|sites|subject
The Bank of East Asia|2748377|The Bank of East Asia|341, 339|ui
Swisscard Centurion|2748377|Swisscard Centurion||Centurion Card Request
Swisscard Centurion|2748377|Swisscard Centurion||Centurion Membership Referral Submission
Swisscard Centurion|2748377|Swisscard Centurion||Centurion Membership Interest Submission
ABSA|2748377|ABSA||Confirmation of password change
Alphacard|2748377|Alphacard||Confirmation of password change
Alphacard Centurion|2748377|Alphacard Centurion||Confirmation of password change
BAC|2748377|BAC||Confirmation of password change
Banco Pichincha|2748377|Banco Pichincha||Confirmation of password change
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Confirmation of password change
Bank SA [WP]|2748377|Bank SA [WP]||Confirmation of password change
Barclaycard|2748377|Barclaycard||Confirmation of password change
Barclays|2748377|Barclays||Confirmation of password change
BCG|2748377|BCG||Confirmation of password change
City National Bank|2748377|City National Bank||Confirmation of password change
Coutts|2748377|Coutts||Confirmation of password change
Credit One|2748377|Credit One||Confirmation of password change
Credit Saison|2748377|Credit Saison||Confirmation of password change
Credit Saison Diamond|2748377|Credit Saison Diamond||Confirmation of password change
DBS AMEX|2748377|DBS AMEX||Confirmation of password change
Dillards|2748377|Dillards||Confirmation of password change
Discover|2748377|Discover||Confirmation of password change
DNB|2748377|DNB||Confirmation of password change
Europe Arab Bank|2748377|Europe Arab Bank||Confirmation of password change
Ginza Six Card|2748377|Ginza Six Card||Confirmation of password change
Global Travel Collection|2748377|Global Travel Collection||Confirmation of password change
HSBC|2748377|HSBC||Confirmation of password change
HSBC Infinite|2748377|HSBC Infinite||Confirmation of password change
Luxury Card|2748377|Luxury Card||Confirmation of password change
Manulife|2748377|Manulife||Confirmation of password change
Mastercard|2748377|Mastercard||Confirmation of password change
Mastercard Citi|2748377|Mastercard Citi||Confirmation of password change
Mastercard RAK|2748377|Mastercard RAK||Confirmation of password change
Morgan Stanley|2748377|Morgan Stanley||Confirmation of password change
MTLS Itau|2748377|MTLS Itau||Confirmation of password change
MTLS NEO|2748377|MTLS NEO||Confirmation of password change
MTLS SNB|2748377|MTLS SNB||Confirmation of password change
Natwest Black|2748377|Natwest Black||Confirmation of password change
Navy Federal Union|2748377|Navy Federal Union||Confirmation of password change
Nomura|2748377|Nomura||Confirmation of password change
OCBC|2748377|OCBC|249, 273, 274|Confirmation of password change
Qorbis|2748377|Qorbis||Confirmation of password change
Royal Bank of Canada|2748377|Royal Bank of Canada||Confirmation of password change
Royal Bank of Scotland Black|2748377|Royal Bank of Scotland Black||Confirmation of password change
Santander Private Banking|2748377|Santander Private Banking||Confirmation of password change
Scotia|2748377|Scotia||Confirmation of password change
Scotiabank Gold American Express®|2748377|Scotiabank Gold American Express®|425, 423|Confirmation of password change
Scotiabank Platinum American Express|2748377|Scotiabank Platinum American Express|421, 422|Confirmation of password change
SJP|2748377|SJP||Confirmation of password change
SMCC|2748377|SMCC||Confirmation of password change
SPW|2748377|SPW||Confirmation of password change
Standard Chartered|2748377|Standard Chartered||Confirmation of password change
St George [WP]|2748377|St George [WP]||Confirmation of password change
Swisscard|2748377|Swisscard||Confirmation of password change
Swisscard Centurion|2748377|Swisscard Centurion||Confirmation of password change
Ten|2748377|Ten||Confirmation of password change
Ten Explore|2748377|Ten Explore||Confirmation of password change
The Bank of East Asia|2748377|The Bank of East Asia||Confirmation of password change
Visa CEMEA|2748377|Visa CEMEA||Confirmation of password change
Visa LAC|2748377|Visa LAC||Confirmation of password change
Visa Trial|2748377|Visa Trial||Confirmation of password change
Visa US|2748377|Visa US||Confirmation of password change
Wells Fargo|2748377|Wells Fargo||Confirmation of password change
Wells Fargo The Private Bank|2748377|Wells Fargo The Private Bank||Confirmation of password change
Westpac|2748377|Westpac||Confirmation of password change
Global Travel Collection|2748377|Global Travel Collection||Your GTC Concierge request bundle has been purchased
Global Travel Collection|2748377|Global Travel Collection||Confirming that we’ve received your {{request_type}} request
Alphacard|2748377|Alphacard||Create Delegate Email
Alphacard Centurion|2748377|Alphacard Centurion||Create Delegate Email
BAC|2748377|BAC||Create Delegate Email
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Create Delegate Email
Bank SA [WP]|2748377|Bank SA [WP]||Create Delegate Email
BCG|2748377|BCG||Create Delegate Email
Coutts|2748377|Coutts||Create Delegate Email
Credit One|2748377|Credit One||Create Delegate Email
DBS AMEX|2748377|DBS AMEX||Create Delegate Email
Dillards|2748377|Dillards||Create Delegate Email
Discover|2748377|Discover||Create Delegate Email
Europe Arab Bank|2748377|Europe Arab Bank||Create Delegate Email
Ginza Six Card|2748377|Ginza Six Card||Create Delegate Email
HSBC|2748377|HSBC||Create Delegate Email
Luxury Card|2748377|Luxury Card||Create Delegate Email
Manulife|2748377|Manulife||Create Delegate Email
Mastercard|2748377|Mastercard||Create Delegate Email
Mastercard Citi|2748377|Mastercard Citi||Create Delegate Email
Mastercard RAK|2748377|Mastercard RAK||Create Delegate Email
Morgan Stanley|2748377|Morgan Stanley||Create Delegate Email
MTLS Itau|2748377|MTLS Itau||Create Delegate Email
MTLS NEO|2748377|MTLS NEO||Create Delegate Email
MTLS SNB|2748377|MTLS SNB||Create Delegate Email
Natwest Black|2748377|Natwest Black||Create Delegate Email
Santander Private Banking|2748377|Santander Private Banking||Create Delegate Email
Scotia|2748377|Scotia||Create Delegate Email
SJP|2748377|SJP||Create Delegate Email
SPW|2748377|SPW||Create Delegate Email
Standard Chartered|2748377|Standard Chartered||Create Delegate Email
St George [WP]|2748377|St George [WP]||Create Delegate Email
Swisscard|2748377|Swisscard||Create Delegate Email
Swisscard Centurion|2748377|Swisscard Centurion||Create Delegate Email
Ten|2748377|Ten||Create Delegate Email
The Bank of East Asia|2748377|The Bank of East Asia||Create Delegate Email
Visa CEMEA|2748377|Visa CEMEA||Create Delegate Email
Westpac|2748377|Westpac||Create Delegate Email
ABSA|2748377|ABSA||Reservation requested: {{Restaurant_name}}
Alphacard|2748377|Alphacard||Reservation requested: {{Restaurant_name}}
Alphacard Centurion|2748377|Alphacard Centurion||Reservation requested: {{Restaurant_name}}
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Reservation requested: {{Restaurant_name}}
Bank SA [WP]|2748377|Bank SA [WP]||Reservation requested: {{Restaurant_name}}
Barclaycard|2748377|Barclaycard||Reservation requested: {{Restaurant_name}}
Barclays|2748377|Barclays||Reservation requested: {{Restaurant_name}}
Credit Saison|2748377|Credit Saison||Reservation requested: {{Restaurant_name}}
Credit Saison Diamond|2748377|Credit Saison Diamond||Reservation requested: {{Restaurant_name}}
Discover|2748377|Discover||Reservation requested: {{Restaurant_name}}
DNB|2748377|DNB||Reservation requested: {{Restaurant_name}}
Europe Arab Bank|2748377|Europe Arab Bank||Reservation requested: {{Restaurant_name}}
Ginza Six Card|2748377|Ginza Six Card||Reservation requested: {{Restaurant_name}}
HSBC|2748377|HSBC||Reservation requested: {{Restaurant_name}}
HSBC Infinite|2748377|HSBC Infinite||Reservation requested: {{Restaurant_name}}
Manulife|2748377|Manulife||Reservation requested: {{Restaurant_name}}
Natwest Black|2748377|Natwest Black||Reservation requested: {{Restaurant_name}}
Nomura|2748377|Nomura||Reservation requested: {{Restaurant_name}}
Royal Bank of Canada|2748377|Royal Bank of Canada||Reservation requested: {{Restaurant_name}}
Royal Bank of Scotland Black|2748377|Royal Bank of Scotland Black||Reservation requested: {{Restaurant_name}}
Santander Private Banking|2748377|Santander Private Banking||Reservation requested: {{Restaurant_name}}
Scotia|2748377|Scotia||Reservation requested: {{Restaurant_name}}
Scotiabank Gold American Express®|2748377|Scotiabank Gold American Express®||Reservation requested: {{Restaurant_name}}
Scotiabank Platinum American Express|2748377|Scotiabank Platinum American Express||Reservation requested: {{Restaurant_name}}
SJP|2748377|SJP||Reservation requested: {{Restaurant_name}}
SMCC|2748377|SMCC||Reservation requested: {{Restaurant_name}}
Standard Chartered|2748377|Standard Chartered||Reservation requested: {{Restaurant_name}}
St George [WP]|2748377|St George [WP]||Reservation requested: {{Restaurant_name}}
Swisscard|2748377|Swisscard||Reservation requested: {{Restaurant_name}}
Swisscard Centurion|2748377|Swisscard Centurion||Reservation requested: {{Restaurant_name}}
Ten|2748377|Ten||Reservation requested: {{Restaurant_name}}
Ten Explore|2748377|Ten Explore||Reservation requested: {{Restaurant_name}}
Visa CEMEA|2748377|Visa CEMEA||Reservation requested: {{Restaurant_name}}
Visa US|2748377|Visa US||Reservation requested: {{Restaurant_name}}
Westpac|2748377|Westpac||Reservation requested: {{Restaurant_name}}
Europe Arab Bank|2748377|Europe Arab Bank||Your ticket request: {{Event_name}}
Ginza Six Card|2748377|Ginza Six Card||Your ticket request: {{Event_name}}
Luxury Card|2748377|Luxury Card||Your ticket request: {{Event_name}}
Manulife|2748377|Manulife||Your ticket request: {{Event_name}}
Natwest Black|2748377|Natwest Black||Your ticket request: {{Event_name}}
Royal Bank of Scotland Black|2748377|Royal Bank of Scotland Black||Your ticket request: {{Event_name}}
Santander Private Banking|2748377|Santander Private Banking||Your ticket request: {{Event_name}}
SMCC|2748377|SMCC||Your ticket request: {{Event_name}}
Ten|2748377|Ten|2|Your ticket request: {{Event_name}}
Ten Explore|2748377|Ten Explore||Your ticket request: {{Event_name}}
Visa US|2748377|Visa US||Your ticket request: {{Event_name}}
HSBC Infinite|2748377|HSBC Infinite||Your immigration request
Swisscard Centurion|2748377|Swisscard Centurion||expedited immingration {{job_id}}
ABSA|2748377|ABSA||Held Table Booking Confirmation: {{Restaurant_name}}
Alphacard|2748377|Alphacard||Held Table Booking Confirmation: {{Restaurant_name}}
Alphacard Centurion|2748377|Alphacard Centurion||Held Table Booking Confirmation: {{Restaurant_name}}
BAC|2748377|BAC||Held Table Booking Confirmation: {{Restaurant_name}}
Banco Pichincha|2748377|Banco Pichincha||Held Table Booking Confirmation: {{Restaurant_name}}
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Held Table Booking Confirmation: {{Restaurant_name}}
Bank SA [WP]|2748377|Bank SA [WP]||Held Table Booking Confirmation: {{Restaurant_name}}
Barclaycard|2748377|Barclaycard||Held Table Booking Confirmation: {{Restaurant_name}}
Barclays|2748377|Barclays||Held Table Booking Confirmation: {{Restaurant_name}}
BCG|2748377|BCG||Held Table Booking Confirmation: {{Restaurant_name}}
City National Bank|2748377|City National Bank||Held Table Booking Confirmation: {{Restaurant_name}}
Coutts|2748377|Coutts||Held Table Booking Confirmation: {{Restaurant_name}}
Credit One|2748377|Credit One||Held Table Booking Confirmation: {{Restaurant_name}}
Credit Saison|2748377|Credit Saison||Held Table Booking Confirmation: {{Restaurant_name}}
Credit Saison Diamond|2748377|Credit Saison Diamond||Held Table Booking Confirmation: {{Restaurant_name}}
DBS AMEX|2748377|DBS AMEX||Held Table Booking Confirmation: {{Restaurant_name}}
Dillards|2748377|Dillards||Held Table Booking Confirmation: {{Restaurant_name}}
Discover|2748377|Discover||Held Table Booking Confirmation: {{Restaurant_name}}
DNB|2748377|DNB||Held Table Booking Confirmation: {{Restaurant_name}}
Europe Arab Bank|2748377|Europe Arab Bank||Held Table Booking Confirmation: {{Restaurant_name}}
Ginza Six Card|2748377|Ginza Six Card||Held Table Booking Confirmation: {{Restaurant_name}}
HSBC|2748377|HSBC||Held Table Booking Confirmation: {{Restaurant_name}}
HSBC Infinite|2748377|HSBC Infinite||Held Table Booking Confirmation: {{Restaurant_name}}
Luxury Card|2748377|Luxury Card||Held Table Booking Confirmation: {{Restaurant_name}}
Manulife|2748377|Manulife||Held Table Booking Confirmation: {{Restaurant_name}}
Mastercard|2748377|Mastercard||Held Table Booking Confirmation: {{Restaurant_name}}
Mastercard Citi|2748377|Mastercard Citi||Held Table Booking Confirmation: {{Restaurant_name}}
Mastercard RAK|2748377|Mastercard RAK||Held Table Booking Confirmation: {{Restaurant_name}}
Morgan Stanley|2748377|Morgan Stanley||Held Table Booking Confirmation: {{Restaurant_name}}
MTLS Itau|2748377|MTLS Itau||Held Table Booking Confirmation: {{Restaurant_name}}
MTLS NEO|2748377|MTLS NEO||Held Table Booking Confirmation: {{Restaurant_name}}
MTLS SNB|2748377|MTLS SNB||Held Table Booking Confirmation: {{Restaurant_name}}
Natwest Black|2748377|Natwest Black||Held Table Booking Confirmation: {{Restaurant_name}}
Navy Federal Union|2748377|Navy Federal Union||Held Table Booking Confirmation: {{Restaurant_name}}
Nomura|2748377|Nomura||Held Table Booking Confirmation: {{Restaurant_name}}
OCBC|2748377|OCBC|274, 249, 273|Held Table Booking Confirmation: {{Restaurant_name}}
Qorbis|2748377|Qorbis||Held Table Booking Confirmation: {{Restaurant_name}}
Royal Bank of Canada|2748377|Royal Bank of Canada||Held Table Booking Confirmation: {{Restaurant_name}}
Royal Bank of Scotland Black|2748377|Royal Bank of Scotland Black||Held Table Booking Confirmation: {{Restaurant_name}}
Santander Private Banking|2748377|Santander Private Banking||Held Table Booking Confirmation: {{Restaurant_name}}
Scotia|2748377|Scotia||Held Table Booking Confirmation: {{Restaurant_name}}
Scotiabank Gold American Express®|2748377|Scotiabank Gold American Express®|423, 425|Held Table Booking Confirmation: {{Restaurant_name}}
Scotiabank Platinum American Express|2748377|Scotiabank Platinum American Express|421, 422|Held Table Booking Confirmation: {{Restaurant_name}}
SJP|2748377|SJP||Held Table Booking Confirmation: {{Restaurant_name}}
SMCC|2748377|SMCC||Held Table Booking Confirmation: {{Restaurant_name}}
SPW|2748377|SPW||Held Table Booking Confirmation: {{Restaurant_name}}
Standard Chartered|2748377|Standard Chartered||Held Table Booking Confirmation: {{Restaurant_name}}
St George [WP]|2748377|St George [WP]||Held Table Booking Confirmation: {{Restaurant_name}}
Swisscard|2748377|Swisscard||Held Table Booking Confirmation: {{Restaurant_name}}
Swisscard Centurion|2748377|Swisscard Centurion||Held Table Booking Confirmation: {{Restaurant_name}}
Ten|2748377|Ten||Held Table Booking Confirmation: {{Restaurant_name}}
Ten Explore|2748377|Ten Explore||Held Table Booking Confirmation: {{Restaurant_name}}
The Bank of East Asia|2748377|The Bank of East Asia||Held Table Booking Confirmation: {{Restaurant_name}}
Visa CEMEA|2748377|Visa CEMEA||Held Table Booking Confirmation: {{Restaurant_name}}
Visa LAC|2748377|Visa LAC||Held Table Booking Confirmation: {{Restaurant_name}}
Visa Trial|2748377|Visa Trial||Held Table Booking Confirmation: {{Restaurant_name}}
Visa US|2748377|Visa US||Held Table Booking Confirmation: {{Restaurant_name}}
Wells Fargo|2748377|Wells Fargo||Held Table Booking Confirmation: {{Restaurant_name}}
Wells Fargo The Private Bank|2748377|Wells Fargo The Private Bank||Held Table Booking Confirmation: {{Restaurant_name}}
Westpac|2748377|Westpac||Held Table Booking Confirmation: {{Restaurant_name}}
ABSA|2748377|ABSA||Please activate your account
Alphacard|2748377|Alphacard||Please activate your American Express Platinum Travel Service online account
Alphacard Centurion|2748377|Alphacard Centurion||Please activate your account
BAC|2748377|BAC||Please activate your account
Banco Pichincha|2748377|Banco Pichincha||Welcome to Visa Digital Concierge - please activate your account
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Please activate your account
Bank SA [WP]|2748377|Bank SA [WP]||Please activate your account
Barclaycard|2748377|Barclaycard||Welcome to Barclays Infinite Concierge - please activate your account
Barclays|2748377|Barclays||Welcome to Barclays Pack Concierge - please activate your account
BCG|2748377|BCG||Please activate your account
City National Bank|2748377|City National Bank||Please activate your account
Coutts|2748377|Coutts||Welcome to Coutts Concierge - please activate your account
Credit One|2748377|Credit One||Please activate your account
Credit Saison|2748377|Credit Saison||Please activate your account
Credit Saison Diamond|2748377|Credit Saison Diamond||Please activate your account
DBS AMEX|2748377|DBS AMEX||Please activate your account
Dillards|2748377|Dillards||Please activate your account
Discover|2748377|Discover||Please activate your account
DNB|2748377|DNB||Please activate your account
Europe Arab Bank|2748377|Europe Arab Bank||Please activate your account
Ginza Six Card|2748377|Ginza Six Card||Please activate your account
Global Travel Collection|2748377|Global Travel Collection||Please activate your account
HSBC|2748377|HSBC||Please activate your account
HSBC Infinite|2748377|HSBC Infinite||Please activate your account
Luxury Card|2748377|Luxury Card||Please activate your account
Manulife|2748377|Manulife||Please activate your account
Mastercard|2748377|Mastercard||Please activate your account
Mastercard Citi|2748377|Mastercard Citi||Please activate your account
Mastercard RAK|2748377|Mastercard RAK||Please activate your account
Morgan Stanley|2748377|Morgan Stanley||Please activate your account
MTLS Itau|2748377|MTLS Itau||Please activate your account
MTLS NEO|2748377|MTLS NEO||Please activate your account
MTLS SNB|2748377|MTLS SNB||Please activate your account
Natwest Black|2748377|Natwest Black||Please activate your account
Navy Federal Union|2748377|Navy Federal Union||Please activate your account
Nomura|2748377|Nomura||Please activate your account
OCBC|2748377|OCBC|273, 274|Voyage Exchange - please activate your account
OCBC|2748377|OCBC|249|Welcome to VOYAGE Exchange - please activate your account
Qorbis|2748377|Qorbis||Please activate your account
Royal Bank of Canada|2748377|Royal Bank of Canada||Welcome to RBC Concierge - please activate your account
Royal Bank of Scotland Black|2748377|Royal Bank of Scotland Black||Please activate your account
Santander Private Banking|2748377|Santander Private Banking||Please activate your account
Scotia|2748377|Scotia||Please activate your account
Scotiabank Gold American Express®|2748377|Scotiabank Gold American Express®|423, 425|Please activate your account
Scotiabank Platinum American Express|2748377|Scotiabank Platinum American Express|421, 422|Please activate your account
SJP|2748377|SJP||Please activate your account
SMCC|2748377|SMCC||Please activate your account
SPW|2748377|SPW||Please activate your account
Standard Chartered|2748377|Standard Chartered||Please activate your account
St George [WP]|2748377|St George [WP]||Please activate your account
Swisscard|2748377|Swisscard||Activate your Platinum Travel & Lifestyle Service online account
Swisscard Centurion|2748377|Swisscard Centurion||Activate your personal access to the new Centurion website
Ten|2748377|Ten||Please activate your account
Ten Explore|2748377|Ten Explore||Please activate your account
The Bank of East Asia|2748377|The Bank of East Asia||Please activate your account
Visa CEMEA|2748377|Visa CEMEA||Please activate your account
Visa LAC|2748377|Visa LAC||Welcome to Visa Digital Concierge - please activate your account
Visa Trial|2748377|Visa Trial||Please activate your account
Visa US|2748377|Visa US||Please activate your account
Wells Fargo|2748377|Wells Fargo||Please activate your account
Wells Fargo The Private Bank|2748377|Wells Fargo The Private Bank||Please activate your account
Westpac|2748377|Westpac||Please activate your account
HSBC Infinite|2748377|HSBC Infinite||Your Limousine Request
Standard Chartered|2748377|Standard Chartered||Your Limousine Request
Alphacard|2748377|Alphacard||Your benefit redemption: {{Benefit_name}}
Alphacard Centurion|2748377|Alphacard Centurion||Your benefit redemption: {{Benefit_name}}
BAC|2748377|BAC||Your benefit redemption: {{Benefit_name}}
Credit One|2748377|Credit One||Your benefit redemption: {{Benefit_name}}
Credit Saison|2748377|Credit Saison||Your benefit redemption: {{Benefit_name}}
Credit Saison Diamond|2748377|Credit Saison Diamond||Your benefit redemption: {{Benefit_name}}
Dillards|2748377|Dillards||Your benefit redemption: {{Benefit_name}}
Europe Arab Bank|2748377|Europe Arab Bank||Your benefit redemption: {{Benefit_name}}
Ginza Six Card|2748377|Ginza Six Card||Your benefit redemption: {{Benefit_name}}
Luxury Card|2748377|Luxury Card||Your benefit redemption: {{Benefit_name}}
Manulife|2748377|Manulife||Your benefit redemption: {{Benefit_name}}
Mastercard|2748377|Mastercard||Your benefit redemption: {{Benefit_name}}
Morgan Stanley|2748377|Morgan Stanley||Your benefit redemption: {{Benefit_name}}
MTLS Itau|2748377|MTLS Itau||Your benefit redemption: {{Benefit_name}}
MTLS NEO|2748377|MTLS NEO||Your benefit redemption: {{Benefit_name}}
MTLS SNB|2748377|MTLS SNB||Your benefit redemption: {{Benefit_name}}
Natwest Black|2748377|Natwest Black||Your benefit redemption: {{Benefit_name}}
Navy Federal Union|2748377|Navy Federal Union||Your benefit redemption: {{Benefit_name}}
Nomura|2748377|Nomura||Your benefit redemption: {{Benefit_name}}
Qorbis|2748377|Qorbis||Your benefit redemption: {{Benefit_name}}
Royal Bank of Scotland Black|2748377|Royal Bank of Scotland Black||Your benefit redemption: {{Benefit_name}}
Santander Private Banking|2748377|Santander Private Banking||Your benefit redemption: {{Benefit_name}}
SMCC|2748377|SMCC||Your benefit redemption: {{Benefit_name}}
SPW|2748377|SPW||Your benefit redemption: {{Benefit_name}}
Swisscard|2748377|Swisscard||Your benefit redemption: {{Benefit_name}}
Swisscard Centurion|2748377|Swisscard Centurion||Your benefit redemption: {{Benefit_name}}
Ten|2748377|Ten||Your benefit redemption: {{Benefit_name}}
Ten Explore|2748377|Ten Explore||Your benefit redemption: {{Benefit_name}}
Visa Trial|2748377|Visa Trial||Your benefit redemption: {{Benefit_name}}
Visa US|2748377|Visa US||Your benefit redemption: {{Benefit_name}}
Wells Fargo|2748377|Wells Fargo||Your benefit redemption: {{Benefit_name}}
Wells Fargo The Private Bank|2748377|Wells Fargo The Private Bank||Your benefit redemption: {{Benefit_name}}
ABSA|2748377|ABSA||Your benefit redemption: {{Benefit_name}}
Alphacard|2748377|Alphacard||Your benefit redemption: {{Benefit_name}}
Alphacard Centurion|2748377|Alphacard Centurion||Your benefit redemption: {{Benefit_name}}
BAC|2748377|BAC||Your benefit redemption: {{Benefit_name}}
Banco Pichincha|2748377|Banco Pichincha||Your benefit redemption: {{Benefit_name}}
Bank of Melbourne [WP]|2748377|Bank of Melbourne [WP]||Your benefit redemption: {{Benefit_name}}
Bank SA [WP]|2748377|Bank SA [WP]||Your benefit redemption: {{Benefit_name}}
Barclaycard|2748377|Barclaycard||Your benefit redemption: {{Benefit_name}}
Barclays|2748377|Barclays||Your benefit redemption: {{Benefit_name}}
BCG|2748377|BCG||Your benefit redemption: {{Benefit_name}}
City National Bank|2748377|City National Bank||Your benefit redemption: {{Benefit_name}}
Coutts|2748377|Coutts||Your benefit redemption: {{Benefit_name}}
Credit One|2748377|Credit One||Your benefit redemption: {{Benefit_name}}
Credit Saison|2748377|Credit Saison||Your benefit redemption: {{Benefit_name}}
Credit Saison Diamond|2748377|Credit Saison Diamond||Your benefit redemption: {{Benefit_name}}
DBS AMEX|2748377|DBS AMEX||Your benefit redemption: {{Benefit_name}}
Dillards|2748377|Dillards||Your benefit redemption: {{Benefit_name}}
Discover|2748377|Discover||Your benefit redemption: {{Benefit_name}}
DNB|2748377|DNB||Your benefit redemption: {{Benefit_name}}
Europe Arab Bank|2748377|Europe Arab Bank||Your benefit redemption: {{Benefit_name}}
Ginza Six Card|2748377|Ginza Six Card||Your benefit redemption: {{Benefit_name}}
HSBC|2748377|HSBC||Your benefit redemption: {{Benefit_name}}
HSBC Infinite|2748377|HSBC Infinite||Your benefit redemption: {{Benefit_name}}
Luxury Card|2748377|Luxury Card||Your benefit redemption: {{Benefit_name}}
Manulife|2748377|Manulife||Your benefit redemption: {{Benefit_name}}
Mastercard|2748377|Mastercard||Your benefit redemption: {{Benefit_name}}
